Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
2022-23,Fall,CEM,2104,Intro to CEM,Afsari,3.67,75,8.3,8.3,0,0,0,0,0,0,8.3,0,0,0,12,82555,3
2020-21,Fall,CEM,2104,Intro to CEM,Afsari,3.85,69.2,23.1,0,7.7,0,0,0,0,0,0,0,0,0,13,92299,3
2020-21,Fall,CEM,2104,Intro to CEM,Afsari,3.84,78.6,7.1,0,14.3,0,0,0,0,0,0,0,0,0,14,82348,3
2021-22,Spring,CEM,2104,Intro to CEM,Afsari,3.6,71.4,9.5,4.8,4.8,0,0,4.8,0,0,0,0,4.8,0,21,12453,3
2022-23,Fall,CEM,2104,Intro to CEM,Afsari,3.7,57.7,11.5,19.2,7.7,3.8,0,0,0,0,0,0,0,1,26,82556,3
2020-21,Fall,CEM,2104,Intro to CEM,Afsari,3.91,81.5,14.8,0,0,3.7,0,0,0,0,0,0,0,0,27,82347,3
2022-23,Spring,CEM,2104,Intro to CEM,Afsari,3.68,66.7,14.8,7.4,7.4,0,0,0,0,0,0,0,3.7,0,27,12606,3
2020-21,Spring,CEM,2104,Intro to CEM,Afsari,3.82,70,20,6.7,0,0,0,0,3.3,0,0,0,0,0,30,12419,3
2021-22,Fall,CEM,2104,Intro to CEM,Afsari,3.75,74.2,3.2,9.7,3.2,6.5,3.2,0,0,0,0,0,0,0,31,82410,3
2021-22,Fall,CEM,2104,Intro to CEM,Afsari,3.92,84.8,6.1,9.1,0,0,0,0,0,0,0,0,0,1,33,82411,3
2019-20,Spring,CEM,2104,Intro to CEM,Johnson,3.88,78.6,7.1,14.3,0,0,0,0,0,0,0,0,0,0,14,12282,2
2019-20,Fall,CEM,2104,Intro to CEM,Afsari,3.98,94.1,5.9,0,0,0,0,0,0,0,0,0,0,0,17,89681,2
2018-19,Spring,CEM,2104,Intro to CEM,Johnson,3.13,19,28.6,4.8,4.8,23.8,0,14.3,4.8,0,0,0,0,0,21,20702,2
2019-20,Fall,CEM,2104,Intro to CEM,Afsari,3.82,88.4,0,4.7,2.3,2.3,0,0,0,0,0,0,2.3,0,43,82172,2
2018-19,Fall,CEM,2104,Intro to CEM,Johnson,3.52,24.3,41.4,12.9,7.1,11.4,2.9,0,0,0,0,0,0,0,70,82092,2
